13
53	-69	52	18	-31	72	35	-74	53	-3	9	48	41
78	99	-9	23	-70	14	-27	-41	-59	36	-79	-92	70
58	68	-12	-2	-63	-99	-82	25	44	-93	12	-45	-60
0	0	85	46	-71	-4	59	-49	0	85	71	26	-18
-73	41	-51	-96	-29	57	42	4	7	-49	31	-68	-62
55	-53	23	-77	-2	-96	91	66	-18	33	-39	-19	85
-82	-42	51	-67	3	49	-32	54	51	19	63	46	70
-25	17	-20	68	9	-11	-27	46	-19	-85	-74	11	-52
11	-49	-16	60	-19	77	91	-10	-60	6	59	55	-39
-2	-43	42	-50	-31	97	74	-73	61	61	-28	-24	35
95	-37	-51	21	-53	-49	52	16	-16	-4	38	48	64
92	-11	-93	64	-37	66	28	1	-7	84	-12	57	64
-86	78	-99	-48	-57	46	42	-67	-27	52	83	51	93

